tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000211	short	A Trip to the Moon	La lune à un mètre	0	1898	\N	3	Comedy,Fantasy,Horror
tt0000212	short	Saida do Paquete Duque de Braganca	Saida do Paquete Duque de Braganca	0	1898	\N	\N	Short
tt0000213	short	Scène d'escamotage	Scène d'escamotage	0	1898	\N	1	Short
tt0000214	short	Tearing Down the Spanish Flag	Tearing Down the Spanish Flag	0	1898	\N	\N	Short,War
tt0000215	short	Smích a plác	Smích a plác	0	1898	\N	\N	Documentary,Short
tt0000216	short	Visita de Doña María Cristina y Alfonso XIII a Barcelona	Visita de Doña María Cristina y Alfonso XIII a Barcelona	0	1898	\N	\N	News,Short
tt0000217	short	Waves and Spray	Waves and Spray	0	1898	\N	\N	Short
tt0000218	short	L'affaire Dreyfus	L'affaire Dreyfus	0	1899	\N	13	Biography,Drama,Short
tt0000219	short	Aladdin and the Wonderful Lamp	Aladdin and the Wonderful Lamp	0	1899	\N	\N	Fantasy,Short
tt0000220	short	The Artist and the Flower Girl	The Artist and the Flower Girl	0	1901	\N	\N	Romance,Short
tt0000221	short	Aspectos da Praia de Cascais	Aspectos da Praia de Cascais	0	1899	\N	\N	Documentary,Short
tt0000222	short	Au cabaret	Au cabaret	0	1899	\N	1	Comedy,Short
tt0000223	short	L'aveugle	L'aveugle	0	1899	\N	\N	Short
tt0000224	short	Battlefield	Battlefield	0	1899	\N	\N	Short
tt0000225	short	Beauty and the Beast	La belle et la bête	0	1899	\N	\N	Family,Fantasy,Romance
tt0000226	short	Boat Race	Boat Race	0	1899	\N	\N	Short
tt0000227	short	Bombardment of Mafeking	Bombardment of Mafeking	0	1899	\N	\N	Drama,Short,War
tt0000228	short	La bonne absinthe	La bonne absinthe	0	1899	\N	1	Short
tt0000229	short	Casey at the Bat	Casey at the Bat	0	1899	\N	1	Short,Sport
tt0000230	short	Cinderella	Cendrillon	0	1899	\N	6	Drama,Family,Fantasy
tt0000231	short	Portuguese Railway Train	Portuguese Railway Train	0	1896	\N	1	Documentary,Short
tt0000232	short	Le chiffonnier	Le chiffonnier	0	1899	\N	\N	Comedy,Short
tt0000233	short	Choque de dos transatlánticos	Choque de dos transatlánticos	0	1899	\N	2	Animation,Short
tt0000234	short	Cleopatra's Tomb	Cléopâtre	0	1899	\N	1	Horror,Short
tt0000235	short	Haggard's She: The Pillar of Fire	La colonne de feu	0	1899	\N	1	Adventure,Fantasy,Horror
tt0000236	short	Courte échelle	Courte échelle	0	1899	\N	\N	Short
tt0000237	short	Le crucifiement	Le crucifiement	0	1899	\N	\N	Short
tt0000238	short	Les dangers de l'alcoolisme	Les dangers de l'alcoolisme	0	1899	\N	\N	Drama,Short
tt0000239	short	Danse serpentine par Mme. Bob Walter	Danse serpentine par Mme. Bob Walter	0	1899	\N	2	Short
tt0000240	short	Distributing a War Extra	Distributing a War Extra	0	1899	\N	1	Documentary,Short
tt0000241	short	La descente de croix	La descente de croix	0	1899	\N	\N	Short
tt0000242	short	The Sign of the Cross	Le diable au couvent	0	1899	\N	3	Fantasy,Horror,Short
tt0000243	short	Le déjeuner des enfants	Le déjeuner des enfants	0	1899	\N	\N	Comedy,Short
tt0000244	short	Erreur judiciaire	Erreur judiciaire	0	1899	\N	\N	Short
tt0000245	short	The Haunted House	The Haunted House	0	1899	\N	\N	Comedy,Fantasy,Horror
tt0000246	short	A Turn of the Century Illusionist	L'impressionniste fin de siècle	0	1899	\N	1	Fantasy,Short
tt0000247	short	King John	King John	0	1899	\N	5	Drama,Short
tt0000248	short	A Kiss in the Tunnel	The Kiss in the Tunnel	0	1899	\N	1	Comedy,Romance,Short
tt0000249	short	The Legacy	The Legacy	0	1899	\N	\N	Short
tt0000250	short	Llegada del vapor Bellver a Mallorca	Llegada del vapor Bellver a Mallorca	0	1899	\N	3	Documentary,Short
tt0000251	short	Matches: An Appeal	Matches: An Appeal	0	1899	\N	\N	Animation,Short
tt0000252	short	La mauvaise soupe	La mauvaise soupe	0	1899	\N	\N	Comedy,Short
tt0000253	short	The Miser's Doom	The Miser's Doom	0	1899	\N	\N	Horror,Short
tt0000254	short	Monnaie de lapin	Monnaie de lapin	0	1899	\N	\N	Comedy,Short
tt0000255	short	Mésaventure d'un charbonnier	Mésaventure d'un charbonnier	0	1899	\N	\N	Comedy,Short
tt0000256	short	Panorama from the Tower of the Brooklyn Bridge	Panorama from the Tower of the Brooklyn Bridge	0	1899	\N	\N	Documentary,Short
tt0000257	short	La résurrection	La résurrection	0	1899	\N	\N	Short
tt0000258	short	Le tondeur de chiens	Le tondeur de chiens	0	1899	\N	\N	Comedy,Short
tt0000259	short	Le tonnelier	Le tonnelier	0	1899	\N	\N	Comedy,Short
tt0000260	short	Transformations	Transformations	0	1899	\N	\N	Comedy,Short
tt0000261	short	A Midnight Episode	Un bon lit	0	1899	\N	1	Comedy,Horror,Short
tt0000262	short	Un lunch	Un lunch	0	1899	\N	\N	Comedy,Short
tt0000263	short	Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	0	1899	\N	\N	Documentary,Short
tt0000264	short	Summoning the Spirits	Évocation spirite	0	1899	\N	1	Fantasy,Horror,Short
tt0000265	short	Above the Limit	Above the Limit	0	1900	\N	\N	Comedy,Short
tt0000266	short	Above the Speedway	Above the Speedway	0	1900	\N	\N	Documentary,Short
tt0000267	short	L'angélus	L'angélus	0	1900	\N	\N	Short
tt0000268	short	L'arléquine	L'arléquine	0	1900	\N	\N	Short
tt0000269	short	Army Life; or, How Soldiers Are Made: Mounted Infantry	Army Life	0	1900	\N	\N	Documentary,Short
tt0000270	short	Arrivée d'Arléquin	Arrivée d'Arléquin	0	1900	\N	\N	Short
tt0000271	short	Arrivée de Pierette et Pierrot	Arrivée de Pierette et Pierrot	0	1900	\N	\N	Short
tt0000272	short	As Seen Through a Telescope	As Seen Through a Telescope	0	1900	\N	1	Comedy,Short
tt0000273	short	Attack on a China Mission	Attack on a China Mission	0	1900	\N	4	Action,Crime,Drama
tt0000274	short	Avenue de l'opéra	Avenue de l'opéra	0	1900	\N	1	Comedy,Short
tt0000275	short	Badinage	Badinage	0	1900	\N	\N	Short
tt0000276	short	Bataille d'oreillers	Bataille d'oreillers	0	1900	\N	\N	Short
tt0000277	short	Bataille de boules de neige	Bataille de boules de neige	0	1900	\N	\N	Short
tt0000278	short	Buffalo Bill's Show Parade	Buffalo Bill's Show Parade	0	1900	\N	\N	Short
tt0000279	short	Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1900	\N	\N	News,Short
tt0000280	short	Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1900	\N	\N	News,Short
tt0000281	short	Buffalo Bill's Wild West Show	Buffalo Bill's Wild West Show	0	1900	\N	\N	News,Short
tt0000282	short	Le bébé	Le bébé	0	1900	\N	\N	Short
tt0000283	short	Chez le Maréchal-Ferrant	Chez le Maréchal-Ferrant	0	1900	\N	\N	Short
tt0000284	short	Chez le photographe	Chez le photographe	0	1900	\N	1	Short
tt0000285	short	Chinese Magic	Chinese Magic	0	1900	\N	\N	Horror,Short
tt0000286	short	Chirurgie fin de siècle	Chirurgie fin de siècle	0	1900	\N	2	Comedy,Short
tt0000287	short	The Clown and the Alchemist	The Clown and the Alchemist	0	1900	\N	\N	Comedy,Fantasy,Short
tt0000288	short	La concierge	La concierge	0	1900	\N	1	Comedy,Short
tt0000289	short	Coucher d'une Parisienne	Coucher d'une Parisienne	0	1900	\N	\N	Short
tt0000290	short	Dance de l'ivresse	Dance de l'ivresse	0	1900	\N	\N	Short
tt0000291	short	Dans les coulisses	Dans les coulisses	0	1900	\N	\N	Short
tt0000292	short	Danse du papillon	Danse du papillon	0	1900	\N	\N	Documentary,Short
tt0000293	short	Danse du pas des foulards par des almées	Danse du pas des foulards par des almées	0	1900	\N	\N	Short
tt0000294	short	La danse du ventre	La danse du ventre	0	1900	\N	\N	Short
tt0000295	short	Danse du voile	Danse du voile	0	1900	\N	\N	Short
tt0000296	short	Danse serpentine	Danse serpentine	0	1900	\N	2	Documentary,Short
tt0000297	short	Danses	Danses	0	1900	\N	\N	Short
tt0000298	short	Déclaration d'amour	Déclaration d'amour	0	1900	\N	\N	Short
tt0000299	short	Le départ d'Arlequin et de Pierrette	Le départ d'Arlequin et de Pierrette	0	1900	\N	2	Short
tt0000300	short	The Enchanted Drawing	The Enchanted Drawing	0	1900	\N	2	Animation,Comedy,Fantasy
tt0000301	short	Faust and Marguerite	Faust and Marguerite	0	1900	\N	1	Fantasy,Horror,Short
tt0000302	short	La fée aux choux, ou la naissance des enfants	La fée aux choux, ou la naissance des enfants	0	1900	\N	1	Short
tt0000303	short	Gavotte directoire	Gavotte directoire	0	1900	\N	\N	Short
tt0000304	short	Grandma's Reading Glass	Grandma's Reading Glass	0	1900	\N	2	Family,Short
tt0000305	short	L'Habanera	L'Habanera	0	1900	\N	\N	Short
tt0000306	short	Le duel d'Hamlet	Le duel d'Hamlet	0	1900	\N	2	Drama,Short
tt0000307	short	Happy Hooligan	Happy Hooligan	0	1900	\N	\N	Comedy,Short
tt0000308	short	The House That Jack Built	The House That Jack Built	0	1900	\N	1	Short
tt0000309	short	How It Feels to Be Run Over	How It Feels to Be Run Over	0	1900	\N	1	Comedy,Short
tt0000310	short	Chimmie Hicks and the Rum Omelet	Chimmie Hicks and the Rum Omelet	0	1900	\N	\N	Comedy,Short
tt0000312	short	Le lapin	Le lapin	0	1900	\N	\N	Short
tt0000313	short	Let Me Dream Again	Let Me Dream Again	0	1900	\N	1	Comedy,Short
tt0000314	short	Leçon de danse	Leçon de danse	0	1900	\N	\N	Short
tt0000315	short	Le marchand de coco	Le marchand de coco	0	1900	\N	\N	Short
tt0000316	short	Marché à la volaille	Marché à la volaille	0	1900	\N	\N	Short
tt0000317	short	Le matelot	Le matelot	0	1900	\N	\N	Short
tt0000318	short	Eine moderne Jungfrau von Orleans	Eine moderne Jungfrau von Orleans	0	1900	\N	\N	Short
tt0000319	short	Maple Leaf Viewing	Momijigari	0	1899	\N	6	Horror,Short
tt0000320	short	Mort d'Adonis	Mort d'Adonis	0	1900	\N	\N	Short
tt0000321	short	The Mystic Swing	The Mystic Swing	0	1900	\N	1	Fantasy,Short
tt0000322	short	Panorama de Barcelona: monumentos y fiestas	Panorama de Barcelona: monumentos y fiestas	0	1900	\N	6	Documentary,Short
tt0000323	short	Pas Japonais	Pas Japonais	0	1900	\N	\N	Short
tt0000324	short	Pas de grâce	Pas de grâce	0	1900	\N	\N	Short
tt0000325	short	Pas des éventails	Pas des éventails	0	1900	\N	\N	Short
tt0000326	short	Pas du poignard	Pas du poignard	0	1900	\N	\N	Short
tt0000327	short	La paysanne	La paysanne	0	1900	\N	\N	Short
tt0000328	short	La petite magicienne	La petite magicienne	0	1900	\N	1	Short
tt0000329	short	Le Polichinelle	Le Polichinelle	0	1900	\N	\N	Short
tt0000330	short	La poupée noire	La poupée noire	0	1900	\N	\N	Short
tt0000331	short	La reine des jouets	La reine des jouets	0	1900	\N	\N	Short
tt0000332	short	Retour des champs	Retour des champs	0	1900	\N	2	Documentary,Short
tt0000333	short	Le sang d'Adonis donnant naissance à la rose rouge	Le sang d'Adonis donnant naissance à la rose rouge	0	1900	\N	\N	Short
tt0000334	short	Saut humidifié de M. Plick	Saut humidifié de M. Plick	0	1900	\N	\N	Comedy,Short
tt0000335	short	Soldiers of the Cross	Soldiers of the Cross	0	1900	\N	40	Biography,Drama,Short
tt0000336	short	La source	La source	0	1900	\N	\N	Short
tt0000337	short	Spanish Bullfight	Spanish Bullfight	0	1900	\N	1	Short,Sport
tt0000338	short	Suite de la danse	Suite de la danse	0	1900	\N	\N	Short
tt0000339	short	La tarentelle	La tarentelle	0	1900	\N	\N	Short
tt0000340	short	Uncle Josh in a Spooky Hotel	Uncle Josh in a Spooky Hotel	0	1900	\N	1	Comedy,Fantasy,Short
tt0000341	short	Uncle Josh's Nightmare	Uncle Josh's Nightmare	0	1900	\N	2	Comedy,Fantasy,Short
tt0000342	short	Une rage de dents	Une rage de dents	0	1900	\N	\N	Comedy,Short
tt0000343	short	Valse directoire	Valse directoire	0	1900	\N	\N	Short
tt0000344	short	Valse lente	Valse lente	0	1900	\N	\N	Short
tt0000345	short	L'écossaise	L'écossaise	0	1900	\N	\N	Short
tt0000346	short	Another Job for the Undertaker	Another Job for the Undertaker	0	1901	\N	2	Comedy,Short
tt0000347	short	Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1901	\N	2	Documentary,News,Short
tt0000348	short	Charmant froufrou	Charmant froufrou	0	1901	\N	\N	Short
tt0000349	short	What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant	The Cheese Mites, or Lilliputians in a London Restaurant	0	1901	\N	1	Comedy,Short
tt0000350	short	The Countryman's First Sight of the Animated Pictures	The Countryman and the Cinematograph	0	1901	\N	1	Comedy,Short
tt0000351	short	Danses basques	Danses basques	0	1901	\N	\N	Short
tt0000352	short	Day at the Circus	Day at the Circus	0	1901	\N	\N	Documentary,Short
tt0000353	short	Execution of Czolgosz with Panorama of Auburn Prison	Execution of Czolgosz with Panorama of Auburn Prison	0	1901	\N	4	Drama,History,Short
tt0000354	short	Exercício de Artilharia no Hipódromo de Belém	Exercício de Artilharia no Hipódromo de Belém	0	1901	\N	\N	Documentary,Short
tt0000355	short	Fire!	Fire!	0	1901	\N	5	Action,Drama,Short
tt0000356	short	Frivolité	Frivolité	0	1901	\N	\N	Short
tt0000357	short	The Haunted Curiosity Shop	The Haunted Curiosity Shop	0	1901	\N	2	Comedy,Fantasy,Horror
tt0000358	short	History of a Crime	Histoire d'un crime	0	1901	\N	5	Crime,Drama,Short
tt0000359	short	The India Rubber Head	L'homme à la tête en caoutchouc	0	1901	\N	3	Comedy,Fantasy,Short
tt0000360	short	Hussards et grisettes	Hussards et grisettes	0	1901	\N	\N	Short
tt0000361	short	Lavatory moderne	Lavatory moderne	0	1901	\N	\N	Short
tt0000362	short	Lecture quotidienne	Lecture quotidienne	0	1901	\N	\N	Short
tt0000363	short	Magical Sword	The Magic Sword	0	1901	\N	2	Fantasy,Romance,Short
tt0000364	short	Panorama of Esplanade by Night	Panorama of Esplanade by Night	0	1901	\N	1	Documentary,Short
tt0000365	short	Parada de Bombeiros	Parada de Bombeiros	0	1901	\N	\N	Documentary,Short
tt0000366	short	Uma Parada dos Alunos da Casa Pia de Lisboa	Uma Parada dos Alunos da Casa Pia de Lisboa	0	1901	\N	\N	Documentary,Short
tt0000367	short	Pas de colombine	Pas de colombine	0	1901	\N	\N	Short
tt0000368	short	Little Red Riding Hood	Le petit chaperon rouge	0	1901	\N	\N	Fantasy,Short
tt0000369	short	A Road for Children's Bicycles in Barcelona	Pista de bicicletas para niños en Barcelona	0	1901	\N	3	Documentary,Short
tt0000370	short	Scrooge; or Marley's Ghost	Scrooge; or Marley's Ghost	0	1901	\N	6	Drama,Fantasy,Horror
tt0000371	short	Scène d'amour	Scène d'amour	0	1901	\N	\N	Short
tt0000372	short	Scène d'ivresse	Scène d'ivresse	0	1901	\N	\N	Short
tt0000373	short	The Devil's Seven Castles	Les sept châteaux du diable	0	1904	\N	11	Drama,Horror,Short
tt0000374	short	Tel est pris qui croyait prendre	Tel est pris qui croyait prendre	0	1901	\N	\N	Short
tt0000375	short	Uma Tourada à Antiga Portuguesa	Uma Tourada à Antiga Portuguesa	0	1901	\N	\N	Documentary,Short
tt0000376	short	A táncz	A táncz	0	1901	\N	\N	Documentary,Short
tt0000377	short	Undressing Extraordinary	Undressing Extraordinary	0	1901	\N	3	Comedy,Fantasy,Short
tt0000378	short	Les vagues	Les vagues	0	1901	\N	\N	Short
tt0000379	short	Visita de la escuadra inglesa a Barcelona	Visita de la escuadra inglesa a Barcelona	0	1901	\N	6	Documentary,Short
tt0000380	short	Sleeping Beauty	La belle au bois dormant	0	1903	\N	\N	Drama,Fantasy,Short
tt0000381	short	Buffalo Bill's Wild West Show	Buffalo Bill's Wild West Show	0	1902	\N	\N	News,Short
tt0000382	short	Carnaval en las ramblas	Carnaval en las ramblas	0	1902	\N	9	Documentary,Short
tt0000383	short	Carreras de caballos en el hipódromo de Barcelona	Carreras de caballos en el hipódromo de Barcelona	0	1902	\N	6	Documentary,Short
tt0000384	short	Les chiens savants	Les chiens savants	0	1902	\N	3	Documentary,Short
tt0000385	short	Les clowns	Les clowns	0	1902	\N	\N	Comedy,Short
tt0000386	short	La cour des miracles	La cour des miracles	0	1902	\N	\N	Comedy,Short
tt0000387	short	The Coronation of King Edward VII	The Coronation of Edward VII	0	1902	\N	4	History,Short
tt0000388	short	Danse excentrique	Danse excentrique	0	1902	\N	2	Short
tt0000389	short	Danse fantaisiste	Danse fantaisiste	0	1902	\N	\N	Short
tt0000390	short	Danse mauresque	Danse mauresque	0	1902	\N	\N	Short
tt0000391	short	La dent récalcitrante	La dent récalcitrante	0	1902	\N	\N	Comedy,Short
tt0000392	short	The Enchanted Cup	The Enchanted Cup	0	1903	\N	\N	Fantasy,Short
tt0000393	short	En faction	En faction	0	1902	\N	\N	Comedy,Short
tt0000394	short	Farces de cuisinière	Farces de cuisinière	0	1902	\N	\N	Comedy,Short
tt0000395	short	La fiole enchantée	La fiole enchantée	0	1902	\N	\N	Short
tt0000396	short	Fruits de saison	Fruits de saison	0	1902	\N	\N	Short
tt0000397	short	La gavotte	La gavotte	0	1902	\N	\N	Short
tt0000398	short	La gigue	La gigue	0	1902	\N	\N	Short
tt0000399	short	Jack and the Beanstalk	Jack and the Beanstalk	0	1902	\N	10	Fantasy,Short
tt0000400	short	Le lion savant	Le lion savant	0	1902	\N	\N	Comedy,Short
tt0000401	short	Le marchand de ballons	Le marchand de ballons	0	1902	\N	\N	Comedy,Short
tt0000402	short	Mother Goose Nursery Rhymes	Mother Goose Nursery Rhymes	0	1902	\N	\N	Comedy,Short
tt0000403	short	Le pommier	Le pommier	0	1902	\N	\N	Short
tt0000404	short	Pour secouer la salade	Pour secouer la salade	0	1902	\N	\N	Short
tt0000405	short	La première gamelle	La première gamelle	0	1902	\N	\N	Comedy,Short
tt0000406	short	The Prince of Darkness	The Prince of Darkness	0	1900	\N	\N	Horror,Short
tt0000407	short	Procesión de las hijas de María de la parroquia de Sans	Procesión de las hijas de María de la parroquia de Sans	0	1902	\N	\N	Documentary,Short
tt0000408	short	Quadrille réaliste	Quadrille réaliste	0	1902	\N	\N	Short
tt0000409	short	Midwife to the Upper Classes	Sage-femme de première classe	0	1902	\N	4	Comedy,Short
tt0000410	short	Demolishing and Building Up the Star Theatre	Demolishing and Building Up the Star Theatre	0	1901	\N	2	Documentary,Short
tt0000411	short	Trompé mais content	Trompé mais content	0	1902	\N	\N	Comedy,Short
tt0000412	short	The Troublesome Fly	The Troublesome Fly	0	1900	\N	\N	Comedy,Horror,Short
tt0000413	short	The Devil's Money Bags	Les trésors de satan	0	1902	\N	3	Comedy,Fantasy,Horror
tt0000414	short	Uncle Josh at the Moving Picture Show	Uncle Josh at the Moving Picture Show	0	1902	\N	2	Comedy,Short
tt0000415	short	A Peculiar Cabinet	Une scène en cabinet particulier vue à travers le trou de la serrure	0	1902	\N	\N	Short
tt0000416	short	Alcohol and Its Victims	Les victimes de l'alcoolisme	0	1902	\N	4	Drama,Short
tt0000417	short	A Trip to the Moon	Le voyage dans la lune	0	1902	\N	13	Action,Adventure,Comedy
tt0000418	short	The Wild Man of Borneo	The Wild Man of Borneo	0	1902	\N	\N	Drama,Short
tt0000419	short	L'équilibriste	L'équilibriste	0	1902	\N	\N	Short
tt0000420	short	Alice in Wonderland	Alice in Wonderland	0	1903	\N	8	Family,Fantasy,Short
tt0000421	short	Les apaches pas veinards	Les apaches pas veinards	0	1903	\N	\N	Short
tt0000422	short	Les aventures d'un voyageur trop pressé	Les aventures d'un voyageur trop pressé	0	1903	\N	\N	Short
tt0000423	short	The Enchanted Box	La boîte à malice	0	1903	\N	1	Fantasy,Short
tt0000424	short	Les braconniers	Les braconniers	0	1903	\N	\N	Short
tt0000425	short	Buffalo Bill's Parade	Buffalo Bill's Parade	0	1903	\N	\N	Documentary,Short
tt0000426	short	Buffalo Bill's Street Parade	Buffalo Bill's Street Parade	0	1903	\N	\N	Documentary,Short
tt0000427	short	Cake-walk de la pendule	Cake-walk de la pendule	0	1903	\N	\N	Short
tt0000428	short	Carreras de bicicletas en el parque	Carreras de bicicletas en el parque	0	1903	\N	\N	Documentary,Short
tt0000429	short	La chasse au cambrioleur	La chasse au cambrioleur	0	1903	\N	\N	Short
